#   line (B)  time (µs)
        1024      1256.6
        2048      1263.7
        4096      1264.5
        8192      1260.2
       16384      1256.7
       32768      1256.7
       65536      2664.6
      131072      2706.2
      262144      2832.4
      524288      3654.6
     1048576      3808.6
     2097152      5392.6
     4194304      7785.5
     8388608      8043.7
    16777216      8054.5
    33554432      7753.1
    67108864      7707.4
